feature,importance
num__src_bytes,0.1375625935762807
num__dst_bytes,0.11352935837375748
cat__flag_SF,0.05962243299934571
num__dst_host_srv_count,0.059408794366235966
num__dst_host_same_srv_rate,0.05228091019459759
num__same_srv_rate,0.046481648662101686
num__diff_srv_rate,0.0445556645945362
num__count,0.0425252947528816
num__dst_host_diff_srv_rate,0.035146783360854326
num__logged_in,0.03135563737934208
num__dst_host_same_src_port_rate,0.02827815331286064
num__dst_host_serror_rate,0.026218986300908444
num__dst_host_srv_diff_host_rate,0.024181194690540538
num__serror_rate,0.023270810925009905
cat__protocol_type_icmp,0.02250783859153921
cat__flag_S0,0.021095093802410855
num__srv_serror_rate,0.02098898710277631
num__dst_host_srv_serror_rate,0.018877798091462453
cat__service_http,0.018566116986281765
cat__service_private,0.01672910020350142
num__dst_host_count,0.014581423562261258
num__dst_host_rerror_rate,0.014366179681396916
cat__service_ecr_i,0.013063503122369098
num__srv_count,0.010947909392857025
cat__protocol_type_tcp,0.01055619584128789
num__rerror_rate,0.01028886860009131
num__dst_host_srv_rerror_rate,0.009971147171666028
cat__service_eco_i,0.009461333630692195
num__hot,0.008803262553974626
cat__protocol_type_udp,0.006879252439939135
num__srv_diff_host_rate,0.006211205354603631
num__num_compromised,0.00587037804053282
num__srv_rerror_rate,0.005715992567453106
cat__service_ftp_data,0.005450831613539319
cat__service_domain_u,0.0041749689827606335
num__duration,0.0037921010080598696
num__wrong_fragment,0.0034372122323335806
cat__flag_REJ,0.002587003040215813
cat__flag_RSTR,0.0019761725172755635
cat__service_other,0.0013651974603552163
cat__service_smtp,0.0010712076558947097
cat__service_urp_i,0.0010034231370416207
num__is_guest_login,0.0009687226510497753
cat__service_ftp,0.000896384493524669
cat__service_telnet,0.00044593352911108283
cat__flag_S1,0.00035855752305822755
cat__service_finger,0.00035178825148164845
num__num_root,0.00030042716159549656
cat__flag_RSTO,0.00028537951790099514
cat__service_IRC,0.00026284916819434273
num__num_failed_logins,0.0001562332140116026
num__num_file_creations,0.00011896862873001548
cat__service_auth,0.00010797167332352152
cat__flag_SH,9.759945936227993e-05
num__root_shell,8.82046155684945e-05
cat__service_time,7.192504589650785e-05
cat__service_X11,5.6362241588099915e-05
cat__service_imap4,5.11349200114415e-05
num__num_access_files,4.1974316342088926e-05
cat__flag_S2,3.953316792513797e-05
cat__service_ntp_u,3.9151739137955816e-05
cat__service_courier,3.674390020171058e-05
num__num_shells,3.430873399885128e-05
cat__service_iso_tsap,2.9362700803332253e-05
cat__flag_RSTOS0,2.8475079798538265e-05
cat__service_gopher,2.753549321528636e-05
cat__flag_OTH,2.078201379234861e-05
cat__service_pm_dump,2.0370705738747193e-05
num__su_attempted,1.873742260232921e-05
cat__service_tftp_u,1.838118883704346e-05
cat__service_ssh,1.7777303087218642e-05
cat__service_domain,1.7454678784449542e-05
cat__service_Z39_50,1.7395504102719073e-05
cat__service_whois,1.62294867683164e-05
cat__service_pop_3,1.5521712918195225e-05
num__land,1.4750014017274994e-05
cat__service_bgp,1.3926046579625899e-05
cat__service_nnsp,1.2413542907648162e-05
num__urgent,1.2116109892142246e-05
cat__service_login,1.1973934392962976e-05
cat__service_discard,1.1703466565270847e-05
cat__service_vmnet,1.1555273763400292e-05
cat__service_supdup,1.0686775867805482e-05
cat__service_red_i,1.0424681552947221e-05
cat__service_tim_i,8.666169512672767e-06
cat__service_uucp,7.5814568258564305e-06
cat__service_urh_i,7.485523473091583e-06
cat__flag_S3,6.966698219775324e-06
cat__service_nntp,6.795982381011965e-06
cat__service_name,5.389329104161746e-06
cat__service_http_443,4.6523820016027105e-06
cat__service_rje,3.407396935293371e-06
cat__service_link,3.387406970391944e-06
cat__service_ctf,2.7892628078020826e-06
cat__service_remote_job,2.5798471661414867e-06
cat__service_echo,2.4224454594548894e-06
cat__service_netstat,2.217426152408927e-06
cat__service_uucp_path,2.0632703630893835e-06
cat__service_mtp,1.9657083070382586e-06
cat__service_printer,1.356624513863462e-06
cat__service_daytime,1.2689894315257848e-06
cat__service_shell,1.1853168737402492e-06
cat__service_ldap,5.503433245414318e-07
cat__service_klogin,5.131937771048459e-07
cat__service_sunrpc,4.6478947291306463e-07
cat__service_netbios_ssn,2.290515889717761e-07
cat__service_csnet_ns,1.6728459107510578e-07
cat__service_efs,6.668922666831312e-08
cat__service_exec,5.7407256631640835e-08
cat__service_netbios_ns,5.3961588692807926e-08
cat__service_netbios_dgm,1.1982444757820225e-08
cat__service_pop_2,5.454724925695209e-09
cat__service_sql_net,2.3125363102490838e-09
cat__service_hostnames,8.52771734984707e-10
cat__service_systat,4.696045398043562e-10
cat__service_kshell,8.764539763491741e-12
cat__service_http_2784,0.0
num__is_host_login,0.0
num__num_outbound_cmds,0.0
cat__service_harvest,0.0
cat__service_aol,0.0
cat__service_http_8001,0.0
